Đội có chỉ số cao nhất ở mỗi chỉ số:
Chỉ số: Median of Rk, Đội: Arsenal, Giá trị lớn nhất: 441.0
Chỉ số: Mean of Rk, Đội: Arsenal, Giá trị lớn nhất: 424.8571428571428
Chỉ số: Std of Rk, Đội: Bournemouth, Giá trị lớn nhất: 191.1395140889341
Chỉ số: Median of Age, Đội: West Ham, Giá trị lớn nhất: 27.5
Chỉ số: Mean of Age, Đội: West Ham, Giá trị lớn nhất: 28.272727272727277
Chỉ số: Std of Age, Đội: Brighton, Giá trị lớn nhất: 5.69832426866877
Chỉ số: Median of Matches played, Đội: Fulham, Giá trị lớn nhất: 29.0
Chỉ số: Mean of Matches played, Đội: Fulham, Giá trị lớn nhất: 27.23809523809524
Chỉ số: Std of Matches played, Đội: Wolves, Giá trị lớn nhất: 11.930772537155056
Chỉ số: Median of Starts, Đội: Manchester City, Giá trị lớn nhất: 24.0
Chỉ số: Mean of Starts, Đội: Fulham, Giá trị lớn nhất: 19.904761904761905
Chỉ số: Std of Starts, Đội: Everton, Giá trị lớn nhất: 13.720098641021776
Chỉ số: Median of Non-Penalty Goals, Đội: Arsenal, Giá trị lớn nhất: 2.0
Chỉ số: Mean of Non-Penalty Goals, Đội: Manchester City, Giá trị lớn nhất: 4.047619047619048
Chỉ số: Std of Non-Penalty Goals, Đội: Manchester City, Giá trị lớn nhất: 5.757396898566143
Chỉ số: Median of Penalty Goals, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of Penalty Goals, Đội: Arsenal, Giá trị lớn nhất: 0.4761904761904761
Chỉ số: Std of Penalty Goals, Đội: Chelsea, Giá trị lớn nhất: 1.8046236911518885
Chỉ số: Median of Assists, Đội: Arsenal, Giá trị lớn nhất: 2.0
Chỉ số: Mean of Assists, Đội: Manchester City, Giá trị lớn nhất: 3.238095238095238
Chỉ số: Std of Assists, Đội: Manchester City, Giá trị lớn nhất: 3.780274618394303
Chỉ số: Median of Yellow Cards, Đội: Aston Villa, Giá trị lớn nhất: 4.0
Chỉ số: Mean of Yellow Cards, Đội: Chelsea, Giá trị lớn nhất: 4.32
Chỉ số: Std of Yellow Cards, Đội: Wolves, Giá trị lớn nhất: 3.762977544445356
Chỉ số: Median of Red Cards, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of Red Cards, Đội: Burnley, Giá trị lớn nhất: 0.25
Chỉ số: Std of Red Cards, Đội: Tottenham, Giá trị lớn nhất: 0.4815434123430768
Chỉ số: Median of xG, Đội: Liverpool, Giá trị lớn nhất: 2.3
Chỉ số: Mean of xG, Đội: Liverpool, Giá trị lớn nhất: 4.1000000000000005
Chỉ số: Std of xG, Đội: Manchester City, Giá trị lớn nhất: 6.645560637784911
Chỉ số: Median of npxG, Đội: Liverpool, Giá trị lớn nhất: 2.15
Chỉ số: Mean of npxG, Đội: Liverpool, Giá trị lớn nhất: 3.7545454545454544
Chỉ số: Std of npxG, Đội: Manchester City, Giá trị lớn nhất: 5.367299578177536
Chỉ số: Median of xAG, Đội: Liverpool, Giá trị lớn nhất: 1.65
Chỉ số: Mean of xAG, Đội: Liverpool, Giá trị lớn nhất: 2.9318181818181817
Chỉ số: Std of xAG, Đội: Tottenham, Giá trị lớn nhất: 3.2418459583069805
Chỉ số: Median of PrgC, Đội: Liverpool, Giá trị lớn nhất: 41.0
