Kết quả phân cụm với tên:
                 Player  Cluster Cluster_Name
                    NaN        1      Tiền vệ
             Max Aarons        1      Tiền vệ
            Tyler Adams        1      Tiền vệ
       Tosin Adarabioyo        2       Hậu vệ
         Elijah Adebayo        1      Tiền vệ
          Simon Adingra        0     Tiền đạo
           Nayef Aguerd        2       Hậu vệ
       Naouirou Ahamada        1      Tiền vệ
       Anel Ahmedhodžić        2       Hậu vệ
               Ola Aina        2       Hậu vệ
        Kristoffer Ajer        2       Hậu vệ
          Manuel Akanji        2       Hậu vệ
             Nathan Aké        2       Hậu vệ
        Ameen Al-Dakhil        1      Tiền vệ
 Trent Alexander-Arnold        2       Hậu vệ
                Alisson        3      Thủ môn
    Alexis Mac Allister        2       Hậu vệ
         Miguel Almirón        0     Tiền đạo
           Zeki Amdouni        0     Tiền đạo
         Sofyan Amrabat        1      Tiền vệ
     Mads Juel Andersen        1      Tiền vệ
       Joachim Andersen        2       Hậu vệ
        Elliot Anderson        1      Tiền vệ
         Jaidon Anthony        1      Tiền vệ
        Michail Antonio        1      Tiền vệ
                 Antony        1      Tiền vệ
       Oliver Arblaster        1      Tiền vệ
         Cameron Archer        1      Tiền vệ
        Alphonse Areola        3      Thủ môn
        Lorenz Assignon        1      Tiền vệ
           Serge Aurier        1      Tiền vệ
          Taiwo Awoniyi        1      Tiền vệ
            Jordan Ayew        0     Tiền đạo
        Rayan Aït-Nouri        2       Hậu vệ
      Benoît Badiashile        2       Hậu vệ
            Leon Bailey        0     Tiền đạo
         George Baldock        1      Tiền vệ
          Carlos Baleba        2       Hậu vệ
       Shandon Baptiste        1      Tiền vệ
         Valentín Barco        1      Tiền vệ
           Ross Barkley        0     Tiền đạo
          Harvey Barnes        1      Tiền vệ
           Chris Basham        1      Tiền vệ
          Calvin Bassey        2       Hậu vệ
           Amari'i Bell        2       Hậu vệ
 Jean-Ricner Bellegarde        1      Tiền vệ
          Saïd Benrahma        1      Tiền vệ
      Rodrigo Bentancur        1      Tiền vệ
         Daniel Bentley        1      Tiền vệ
           Sander Berge        2       Hậu vệ
             Luke Berry        1      Tiền vệ
                   Beto        1      Tiền vệ
           Jordan Beyer        1      Tiền vệ
         Philip Billing        1      Tiền vệ
          Yves Bissouma        2       Hậu vệ
             Oscar Bobb        1      Tiền vệ
           Jayden Bogle        2       Hậu vệ
             Willy Boly        1      Tiền vệ
            Sven Botman        1      Tiền vệ
           Jarrod Bowen        0     Tiền đạo
          Conor Bradley        1      Tiền vệ
     Jarrad Branthwaite        2       Hậu vệ
           Ben Brereton        1      Tiền vệ
         Rhian Brewster        1      Tiền vệ
          Armando Broja        1      Tiền vệ
           David Brooks        1      Tiền vệ
           Andre Brooks        1      Tiền vệ
            Jacob Brown        1      Tiền vệ
         Josh Brownhill        2       Hậu vệ
        Kevin De Bruyne        0     Tiền đạo
